Cat	Human	Pig	Rabbit	Rat	Dog	Sheep
ENSFCAG00000003767_Cat(Cat)	ENSG00000151012_Human(Human)	ENSSSCG00000022649_Pig(Pig)	ENSOCUG00000001662_Rabbit(Rabbit)	ENSRNOG00000010210_Rat(Rat)	ENSCAFG00000003749_Dog(Dog)	ENSOARG00000014253_Sheep(Sheep)
ENSFCAG00000011045_Cat(Cat)	ENSG00000132549_Human(Human)	ENSSSCG00000006071_Pig(Pig)	ENSOCUG00000008725_Rabbit(Rabbit)	ENSRNOG00000058166_Rat(Rat)	ENSCAFG00000000507_Dog(Dog)	ENSOARG00000002300_Sheep(Sheep)
ENSFCAG00000000300_Cat(Cat)	ENSG00000063046_Human(Human)	ENSSSCG00000032028_Pig(Pig)	ENSOCUG00000013484_Rabbit(Rabbit)	ENSRNOG00000010103_Rat(Rat)	ENSCAFG00000007117_Dog(Dog)	ENSOARG00000016759_Sheep(Sheep)
ENSFCAG00000007597_Cat(Cat)	ENSG00000169604_Human(Human)	ENSSSCG00000008340_Pig(Pig)	ENSOCUG00000010232_Rabbit(Rabbit)	ENSRNOG00000008678_Rat(Rat)	ENSCAFG00000003276_Dog(Dog)	ENSOARG00000019828_Sheep(Sheep)
ENSFCAG00000030428_Cat(Cat)	ENSG00000074527_Human(Human)	ENSSSCG00000000896_Pig(Pig)	ENSOCUG00000015665_Rabbit(Rabbit)	ENSRNOG00000005573_Rat(Rat)	ENSCAFG00000006388_Dog(Dog)	ENSOARG00000011846_Sheep(Sheep)
ENSFCAG00000025665_Cat(Cat)	ENSG00000100368_Human(Human)	ENSSSCG00000000136_Pig(Pig)	ENSOCUG00000027344_Rabbit(Rabbit)	ENSRNOG00000000187_Rat(Rat)	ENSCAFG00000001519_Dog(Dog)	ENSOARG00000019095_Sheep(Sheep)
ENSFCAG00000015412_Cat(Cat)	ENSG00000158321_Human(Human)	ENSSSCG00000007727_Pig(Pig)	ENSOCUG00000008775_Rabbit(Rabbit)	ENSRNOG00000000885_Rat(Rat)	ENSCAFG00000011229_Dog(Dog)	ENSOARG00000010757_Sheep(Sheep)
ENSFCAG00000029668_Cat(Cat)	ENSG00000138823_Human(Human)	ENSSSCG00000009179_Pig(Pig)	ENSOCUG00000013288_Rabbit(Rabbit)	ENSRNOG00000010655_Rat(Rat)	ENSCAFG00000010540_Dog(Dog)	ENSOARG00000014738_Sheep(Sheep)
ENSFCAG00000016277_Cat(Cat)	ENSG00000013573_Human(Human)	ENSSSCG00000000745_Pig(Pig)	ENSOCUG00000006082_Rabbit(Rabbit)	ENSRNOG00000051528_Rat(Rat)	ENSCAFG00000015707_Dog(Dog)	ENSOARG00000011452_Sheep(Sheep)
ENSFCAG00000009474_Cat(Cat)	ENSG00000132970_Human(Human)	ENSSSCG00000009300_Pig(Pig)	ENSOCUG00000003536_Rabbit(Rabbit)	ENSRNOG00000048898_Rat(Rat)	ENSCAFG00000006841_Dog(Dog)	ENSOARG00000012699_Sheep(Sheep)
ENSFCAG00000002595_Cat(Cat)	ENSG00000168615_Human(Human)	ENSSSCG00000015808_Pig(Pig)	ENSOCUG00000013380_Rabbit(Rabbit)	ENSRNOG00000017231_Rat(Rat)	ENSCAFG00000005847_Dog(Dog)	ENSOARG00000001816_Sheep(Sheep)
ENSFCAG00000004249_Cat(Cat)	ENSG00000186575_Human(Human)	ENSSSCG00000028707_Pig(Pig)	ENSOCUG00000005276_Rabbit(Rabbit)	ENSRNOG00000007948_Rat(Rat)	ENSCAFG00000012307_Dog(Dog)	ENSOARG00000004984_Sheep(Sheep)
ENSFCAG00000019191_Cat(Cat)	ENSG00000127914_Human(Human)	ENSSSCG00000015310_Pig(Pig)	ENSOCUG00000004524_Rabbit(Rabbit)	ENSRNOG00000026319_Rat(Rat)	ENSCAFG00000001935_Dog(Dog)	ENSOARG00000017010_Sheep(Sheep)
ENSFCAG00000004796_Cat(Cat)	ENSG00000165124_Human(Human)	ENSSSCG00000005455_Pig(Pig)	ENSOCUG00000016227_Rabbit(Rabbit)	ENSRNOG00000033110_Rat(Rat)	ENSCAFG00000002928_Dog(Dog)	ENSOARG00000006857_Sheep(Sheep)
ENSFCAG00000004384_Cat(Cat)	ENSG00000163513_Human(Human)	ENSSSCG00000011226_Pig(Pig)	ENSOCUG00000015963_Rabbit(Rabbit)	ENSRNOG00000013265_Rat(Rat)	ENSCAFG00000005449_Dog(Dog)	ENSOARG00000014726_Sheep(Sheep)
ENSFCAG00000015584_Cat(Cat)	ENSG00000148429_Human(Human)	ENSSSCG00000011120_Pig(Pig)	ENSOCUG00000007066_Rabbit(Rabbit)	ENSRNOG00000017644_Rat(Rat)	ENSCAFG00000004866_Dog(Dog)	ENSOARG00000014189_Sheep(Sheep)
ENSFCAG00000000479_Cat(Cat)	ENSG00000179218_Human(Human)	ENSSSCG00000013746_Pig(Pig)	ENSOCUG00000023504_Rabbit(Rabbit)	ENSRNOG00000003029_Rat(Rat)	ENSCAFG00000017093_Dog(Dog)	ENSOARG00000009870_Sheep(Sheep)
ENSFCAG00000002797_Cat(Cat)	ENSG00000168385_Human(Human)	ENSSSCG00000016370_Pig(Pig)	ENSOCUG00000015500_Rabbit(Rabbit)	ENSRNOG00000017952_Rat(Rat)	ENSCAFG00000012960_Dog(Dog)	ENSOARG00000017810_Sheep(Sheep)
ENSFCAG00000008769_Cat(Cat)	ENSG00000127481_Human(Human)	ENSSSCG00000003488_Pig(Pig)	ENSOCUG00000000264_Rabbit(Rabbit)	ENSRNOG00000018183_Rat(Rat)	ENSCAFG00000015314_Dog(Dog)	ENSOARG00000010202_Sheep(Sheep)
ENSFCAG00000023007_Cat(Cat)	ENSG00000136160_Human(Human)	ENSSSCG00000009477_Pig(Pig)	ENSOCUG00000017780_Rabbit(Rabbit)	ENSRNOG00000010997_Rat(Rat)	ENSCAFG00000005187_Dog(Dog)	ENSOARG00000000158_Sheep(Sheep)
ENSFCAG00000004675_Cat(Cat)	ENSG00000151779_Human(Human)	ENSSSCG00000008621_Pig(Pig)	ENSOCUG00000015460_Rabbit(Rabbit)	ENSRNOG00000024503_Rat(Rat)	ENSCAFG00000003657_Dog(Dog)	ENSOARG00000016340_Sheep(Sheep)
ENSFCAG00000006965_Cat(Cat)	ENSG00000143819_Human(Human)	ENSSSCG00000010853_Pig(Pig)	ENSOCUG00000011934_Rabbit(Rabbit)	ENSRNOG00000003515_Rat(Rat)	ENSCAFG00000016160_Dog(Dog)	ENSOARG00000017468_Sheep(Sheep)
ENSFCAG00000007573_Cat(Cat)	ENSG00000123636_Human(Human)	ENSSSCG00000015882_Pig(Pig)	ENSOCUG00000015150_Rabbit(Rabbit)	ENSRNOG00000056984_Rat(Rat)	ENSCAFG00000009433_Dog(Dog)	ENSOARG00000007352_Sheep(Sheep)
ENSFCAG00000028832_Cat(Cat)	ENSG00000138688_Human(Human)	ENSSSCG00000009090_Pig(Pig)	ENSOCUG00000014811_Rabbit(Rabbit)	ENSRNOG00000038436_Rat(Rat)	ENSCAFG00000004022_Dog(Dog)	ENSOARG00000000316_Sheep(Sheep)
ENSFCAG00000014717_Cat(Cat)	ENSG00000166140_Human(Human)	ENSSSCG00000004761_Pig(Pig)	ENSOCUG00000005582_Rabbit(Rabbit)	ENSRNOG00000012528_Rat(Rat)	ENSCAFG00000009345_Dog(Dog)	ENSOARG00000020284_Sheep(Sheep)
ENSFCAG00000005100_Cat(Cat)	ENSG00000164099_Human(Human)	ENSSSCG00000009114_Pig(Pig)	ENSOCUG00000013625_Rabbit(Rabbit)	ENSRNOG00000015353_Rat(Rat)	ENSCAFG00000012328_Dog(Dog)	ENSOARG00000017447_Sheep(Sheep)
ENSFCAG00000012496_Cat(Cat)	ENSG00000166979_Human(Human)	ENSSSCG00000021598_Pig(Pig)	ENSOCUG00000012278_Rabbit(Rabbit)	ENSRNOG00000002072_Rat(Rat)	ENSCAFG00000008978_Dog(Dog)	ENSOARG00000013569_Sheep(Sheep)
ENSFCAG00000008383_Cat(Cat)	ENSG00000242550_Human(Human)	ENSSSCG00000004889_Pig(Pig)	ENSOCUG00000007795_Rabbit(Rabbit)	ENSRNOG00000002417_Rat(Rat)	ENSCAFG00000023582_Dog(Dog)	ENSOARG00000006971_Sheep(Sheep)
ENSFCAG00000006503_Cat(Cat)	ENSG00000134438_Human(Human)	ENSSSCG00000004910_Pig(Pig)	ENSOCUG00000010455_Rabbit(Rabbit)	ENSRNOG00000016944_Rat(Rat)	ENSCAFG00000000098_Dog(Dog)	ENSOARG00000005675_Sheep(Sheep)
ENSFCAG00000011896_Cat(Cat)	ENSG00000182050_Human(Human)	ENSSSCG00000032321_Pig(Pig)	ENSOCUG00000017314_Rabbit(Rabbit)	ENSRNOG00000004149_Rat(Rat)	ENSCAFG00000005977_Dog(Dog)	ENSOARG00000015421_Sheep(Sheep)
ENSFCAG00000002216_Cat(Cat)	ENSG00000154217_Human(Human)	ENSSSCG00000017274_Pig(Pig)	ENSOCUG00000015605_Rabbit(Rabbit)	ENSRNOG00000050188_Rat(Rat)	ENSCAFG00000011476_Dog(Dog)	ENSOARG00000015799_Sheep(Sheep)
ENSFCAG00000032638_Cat(Cat)	ENSG00000030110_Human(Human)	ENSSSCG00000001516_Pig(Pig)	ENSOCUG00000002556_Rabbit(Rabbit)	ENSRNOG00000000485_Rat(Rat)	ENSCAFG00000001022_Dog(Dog)	ENSOARG00000010067_Sheep(Sheep)
ENSFCAG00000006869_Cat(Cat)	ENSG00000111319_Human(Human)	ENSSSCG00000000707_Pig(Pig)	ENSOCUG00000010152_Rabbit(Rabbit)	ENSRNOG00000019368_Rat(Rat)	ENSCAFG00000015196_Dog(Dog)	ENSOARG00000008446_Sheep(Sheep)
ENSFCAG00000015779_Cat(Cat)	ENSG00000019549_Human(Human)	ENSSSCG00000039568_Pig(Pig)	ENSOCUG00000012254_Rabbit(Rabbit)	ENSRNOG00000047699_Rat(Rat)	ENSCAFG00000006638_Dog(Dog)	ENSOARG00000013030_Sheep(Sheep)
ENSFCAG00000000620_Cat(Cat)	ENSG00000109670_Human(Human)	ENSSSCG00000020879_Pig(Pig)	ENSOCUG00000008440_Rabbit(Rabbit)	ENSRNOG00000010889_Rat(Rat)	ENSCAFG00000008141_Dog(Dog)	ENSOARG00000004146_Sheep(Sheep)
ENSFCAG00000027403_Cat(Cat)	ENSG00000146842_Human(Human)	ENSSSCG00000016563_Pig(Pig)	ENSOCUG00000010253_Rabbit(Rabbit)	ENSRNOG00000028219_Rat(Rat)	ENSCAFG00000001495_Dog(Dog)	ENSOARG00000005027_Sheep(Sheep)
ENSFCAG00000003958_Cat(Cat)	ENSG00000163104_Human(Human)	ENSSSCG00000009193_Pig(Pig)	ENSOCUG00000017283_Rabbit(Rabbit)	ENSRNOG00000006391_Rat(Rat)	ENSCAFG00000010026_Dog(Dog)	ENSOARG00000017851_Sheep(Sheep)
ENSFCAG00000005367_Cat(Cat)	ENSG00000163898_Human(Human)	ENSSSCG00000011793_Pig(Pig)	ENSOCUG00000005043_Rabbit(Rabbit)	ENSRNOG00000047894_Rat(Rat)	ENSCAFG00000013246_Dog(Dog)	ENSOARG00000020562_Sheep(Sheep)
ENSFCAG00000000092_Cat(Cat)	ENSG00000163914_Human(Human)	ENSSSCG00000011590_Pig(Pig)	ENSOCUG00000013036_Rabbit(Rabbit)	ENSRNOG00000011144_Rat(Rat)	ENSCAFG00000004633_Dog(Dog)	ENSOARG00000014279_Sheep(Sheep)
ENSFCAG00000024154_Cat(Cat)	ENSG00000135069_Human(Human)	ENSSSCG00000005287_Pig(Pig)	ENSOCUG00000007765_Rabbit(Rabbit)	ENSRNOG00000013971_Rat(Rat)	ENSCAFG00000001570_Dog(Dog)	ENSOARG00000012354_Sheep(Sheep)
ENSFCAG00000036330_Cat(Cat)	ENSG00000170231_Human(Human)	ENSSSCG00000017037_Pig(Pig)	ENSOCUG00000005435_Rabbit(Rabbit)	ENSRNOG00000003902_Rat(Rat)	ENSCAFG00000017275_Dog(Dog)	ENSOARG00000013268_Sheep(Sheep)
ENSFCAG00000010436_Cat(Cat)	ENSG00000102794_Human(Human)	ENSSSCG00000009469_Pig(Pig)	ENSOCUG00000022836_Rabbit(Rabbit)	ENSRNOG00000009919_Rat(Rat)	ENSCAFG00000005070_Dog(Dog)	ENSOARG00000016003_Sheep(Sheep)
ENSFCAG00000001929_Cat(Cat)	ENSG00000171634_Human(Human)	ENSSSCG00000033528_Pig(Pig)	ENSOCUG00000015866_Rabbit(Rabbit)	ENSRNOG00000047296_Rat(Rat)	ENSCAFG00000011552_Dog(Dog)	ENSOARG00000015595_Sheep(Sheep)
ENSFCAG00000018823_Cat(Cat)	ENSG00000090989_Human(Human)	ENSSSCG00000023269_Pig(Pig)	ENSOCUG00000017917_Rabbit(Rabbit)	ENSRNOG00000002144_Rat(Rat)	ENSCAFG00000002175_Dog(Dog)	ENSOARG00000002363_Sheep(Sheep)
ENSFCAG00000022205_Cat(Cat)	ENSG00000001629_Human(Human)	ENSSSCG00000015314_Pig(Pig)	ENSOCUG00000004576_Rabbit(Rabbit)	ENSRNOG00000005502_Rat(Rat)	ENSCAFG00000001969_Dog(Dog)	ENSOARG00000017958_Sheep(Sheep)
ENSFCAG00000027502_Cat(Cat)	ENSG00000174607_Human(Human)	ENSSSCG00000031904_Pig(Pig)	ENSOCUG00000015037_Rabbit(Rabbit)	ENSRNOG00000009345_Rat(Rat)	ENSCAFG00000012173_Dog(Dog)	ENSOARG00000018205_Sheep(Sheep)
ENSFCAG00000003508_Cat(Cat)	ENSG00000136478_Human(Human)	ENSSSCG00000017278_Pig(Pig)	ENSOCUG00000012112_Rabbit(Rabbit)	ENSRNOG00000013659_Rat(Rat)	ENSCAFG00000011770_Dog(Dog)	ENSOARG00000014649_Sheep(Sheep)
ENSFCAG00000001350_Cat(Cat)	ENSG00000115665_Human(Human)	ENSSSCG00000008140_Pig(Pig)	ENSOCUG00000001049_Rabbit(Rabbit)	ENSRNOG00000010597_Rat(Rat)	ENSCAFG00000002064_Dog(Dog)	ENSOARG00000020965_Sheep(Sheep)
ENSFCAG00000006006_Cat(Cat)	ENSG00000183773_Human(Human)	ENSSSCG00000010096_Pig(Pig)	ENSOCUG00000016484_Rabbit(Rabbit)	ENSRNOG00000037957_Rat(Rat)	ENSCAFG00000030423_Dog(Dog)	ENSOARG00000016655_Sheep(Sheep)
ENSFCAG00000013987_Cat(Cat)	ENSG00000172175_Human(Human)	ENSSSCG00000004917_Pig(Pig)	ENSOCUG00000007831_Rabbit(Rabbit)	ENSRNOG00000017181_Rat(Rat)	ENSCAFG00000000105_Dog(Dog)	ENSOARG00000005525_Sheep(Sheep)
ENSFCAG00000009973_Cat(Cat)	ENSG00000126107_Human(Human)	ENSSSCG00000003923_Pig(Pig)	ENSOCUG00000003444_Rabbit(Rabbit)	ENSRNOG00000018363_Rat(Rat)	ENSCAFG00000004672_Dog(Dog)	ENSOARG00000001446_Sheep(Sheep)
ENSFCAG00000031564_Cat(Cat)	ENSG00000164180_Human(Human)	ENSSSCG00000014148_Pig(Pig)	ENSOCUG00000005147_Rabbit(Rabbit)	ENSRNOG00000032414_Rat(Rat)	ENSCAFG00000008333_Dog(Dog)	ENSOARG00000016013_Sheep(Sheep)
ENSFCAG00000005111_Cat(Cat)	ENSG00000130707_Human(Human)	ENSSSCG00000005701_Pig(Pig)	ENSOCUG00000009045_Rabbit(Rabbit)	ENSRNOG00000008837_Rat(Rat)	ENSCAFG00000019945_Dog(Dog)	ENSOARG00000007692_Sheep(Sheep)
ENSFCAG00000025717_Cat(Cat)	ENSG00000197980_Human(Human)	ENSSSCG00000026579_Pig(Pig)	ENSOCUG00000011073_Rabbit(Rabbit)	ENSRNOG00000031247_Rat(Rat)	ENSCAFG00000008882_Dog(Dog)	ENSOARG00000002869_Sheep(Sheep)
ENSFCAG00000013640_Cat(Cat)	ENSG00000175216_Human(Human)	ENSSSCG00000013249_Pig(Pig)	ENSOCUG00000016200_Rabbit(Rabbit)	ENSRNOG00000016067_Rat(Rat)	ENSCAFG00000009053_Dog(Dog)	ENSOARG00000004217_Sheep(Sheep)
ENSFCAG00000002763_Cat(Cat)	ENSG00000182263_Human(Human)	ENSSSCG00000034262_Pig(Pig)	ENSOCUG00000009838_Rabbit(Rabbit)	ENSRNOG00000004679_Rat(Rat)	ENSCAFG00000010526_Dog(Dog)	ENSOARG00000005930_Sheep(Sheep)
ENSFCAG00000000900_Cat(Cat)	ENSG00000177628_Human(Human)	ENSSSCG00000006522_Pig(Pig)	ENSOCUG00000000356_Rabbit(Rabbit)	ENSRNOG00000049281_Rat(Rat)	ENSCAFG00000016988_Dog(Dog)	ENSOARG00000003937_Sheep(Sheep)
ENSFCAG00000010674_Cat(Cat)	ENSG00000152223_Human(Human)	ENSSSCG00000021072_Pig(Pig)	ENSOCUG00000003950_Rabbit(Rabbit)	ENSRNOG00000052894_Rat(Rat)	ENSCAFG00000017660_Dog(Dog)	ENSOARG00000002588_Sheep(Sheep)
ENSFCAG00000026486_Cat(Cat)	ENSG00000101180_Human(Human)	ENSSSCG00000038578_Pig(Pig)	ENSOCUG00000021486_Rabbit(Rabbit)	ENSRNOG00000061153_Rat(Rat)	ENSCAFG00000012578_Dog(Dog)	ENSOARG00000014294_Sheep(Sheep)
ENSFCAG00000004303_Cat(Cat)	ENSG00000163026_Human(Human)	ENSSSCG00000008589_Pig(Pig)	ENSOCUG00000012562_Rabbit(Rabbit)	ENSRNOG00000049989_Rat(Rat)	ENSCAFG00000003949_Dog(Dog)	ENSOARG00000017755_Sheep(Sheep)
ENSFCAG00000004736_Cat(Cat)	ENSG00000166685_Human(Human)	ENSSSCG00000017248_Pig(Pig)	ENSOCUG00000011883_Rabbit(Rabbit)	ENSRNOG00000002795_Rat(Rat)	ENSCAFG00000004501_Dog(Dog)	ENSOARG00000013699_Sheep(Sheep)
ENSFCAG00000028136_Cat(Cat)	ENSG00000166004_Human(Human)	ENSSSCG00000014946_Pig(Pig)	ENSOCUG00000029678_Rabbit(Rabbit)	ENSRNOG00000010999_Rat(Rat)	ENSCAFG00000004234_Dog(Dog)	ENSOARG00000002317_Sheep(Sheep)
ENSFCAG00000043849_Cat(Cat)	ENSG00000154945_Human(Human)	ENSSSCG00000038760_Pig(Pig)	ENSOCUG00000024074_Rabbit(Rabbit)	ENSRNOG00000002935_Rat(Rat)	ENSCAFG00000024785_Dog(Dog)	ENSOARG00000003478_Sheep(Sheep)
ENSFCAG00000007553_Cat(Cat)	ENSG00000196453_Human(Human)	ENSSSCG00000016775_Pig(Pig)	ENSOCUG00000007975_Rabbit(Rabbit)	ENSRNOG00000033639_Rat(Rat)	ENSCAFG00000025145_Dog(Dog)	ENSOARG00000000284_Sheep(Sheep)
ENSFCAG00000014993_Cat(Cat)	ENSG00000008838_Human(Human)	ENSSSCG00000029102_Pig(Pig)	ENSOCUG00000009709_Rabbit(Rabbit)	ENSRNOG00000008711_Rat(Rat)	ENSCAFG00000016239_Dog(Dog)	ENSOARG00000012736_Sheep(Sheep)
ENSFCAG00000025535_Cat(Cat)	ENSG00000114573_Human(Human)	ENSSSCG00000011916_Pig(Pig)	ENSOCUG00000006473_Rabbit(Rabbit)	ENSRNOG00000001992_Rat(Rat)	ENSCAFG00000010711_Dog(Dog)	ENSOARG00000019488_Sheep(Sheep)
ENSFCAG00000024083_Cat(Cat)	ENSG00000090432_Human(Human)	ENSSSCG00000028045_Pig(Pig)	ENSOCUG00000000628_Rabbit(Rabbit)	ENSRNOG00000016010_Rat(Rat)	ENSCAFG00000015058_Dog(Dog)	ENSOARG00000009220_Sheep(Sheep)
ENSFCAG00000024346_Cat(Cat)	ENSG00000147262_Human(Human)	ENSSSCG00000012661_Pig(Pig)	ENSOCUG00000011805_Rabbit(Rabbit)	ENSRNOG00000024517_Rat(Rat)	ENSCAFG00000018768_Dog(Dog)	ENSOARG00000009755_Sheep(Sheep)
ENSFCAG00000001734_Cat(Cat)	ENSG00000092148_Human(Human)	ENSSSCG00000001971_Pig(Pig)	ENSOCUG00000003816_Rabbit(Rabbit)	ENSRNOG00000006905_Rat(Rat)	ENSCAFG00000012911_Dog(Dog)	ENSOARG00000006027_Sheep(Sheep)
ENSFCAG00000011670_Cat(Cat)	ENSG00000038532_Human(Human)	ENSSSCG00000026569_Pig(Pig)	ENSOCUG00000006217_Rabbit(Rabbit)	ENSRNOG00000057378_Rat(Rat)	ENSCAFG00000018920_Dog(Dog)	ENSOARG00000006373_Sheep(Sheep)
ENSFCAG00000022018_Cat(Cat)	ENSG00000078618_Human(Human)	ENSSSCG00000003870_Pig(Pig)	ENSOCUG00000004330_Rabbit(Rabbit)	ENSRNOG00000007111_Rat(Rat)	ENSCAFG00000003803_Dog(Dog)	ENSOARG00000004908_Sheep(Sheep)
ENSFCAG00000001954_Cat(Cat)	ENSG00000114098_Human(Human)	ENSSSCG00000036610_Pig(Pig)	ENSOCUG00000015134_Rabbit(Rabbit)	ENSRNOG00000014521_Rat(Rat)	ENSCAFG00000007523_Dog(Dog)	ENSOARG00000007543_Sheep(Sheep)
ENSFCAG00000024301_Cat(Cat)	ENSG00000170835_Human(Human)	ENSSSCG00000028671_Pig(Pig)	ENSOCUG00000009597_Rabbit(Rabbit)	ENSRNOG00000010406_Rat(Rat)	ENSCAFG00000019872_Dog(Dog)	ENSOARG00000005444_Sheep(Sheep)
ENSFCAG00000014395_Cat(Cat)	ENSG00000147799_Human(Human)	ENSSSCG00000005894_Pig(Pig)	ENSOCUG00000002652_Rabbit(Rabbit)	ENSRNOG00000016566_Rat(Rat)	ENSCAFG00000001669_Dog(Dog)	ENSOARG00000012694_Sheep(Sheep)
ENSFCAG00000028630_Cat(Cat)	ENSG00000130988_Human(Human)	ENSSSCG00000022390_Pig(Pig)	ENSOCUG00000023725_Rabbit(Rabbit)	ENSRNOG00000007949_Rat(Rat)	ENSCAFG00000014821_Dog(Dog)	ENSOARG00000013817_Sheep(Sheep)
ENSFCAG00000009221_Cat(Cat)	ENSG00000109171_Human(Human)	ENSSSCG00000008821_Pig(Pig)	ENSOCUG00000009618_Rabbit(Rabbit)	ENSRNOG00000002271_Rat(Rat)	ENSCAFG00000001956_Dog(Dog)	ENSOARG00000017174_Sheep(Sheep)
ENSFCAG00000009409_Cat(Cat)	ENSG00000099991_Human(Human)	ENSSSCG00000010062_Pig(Pig)	ENSOCUG00000000404_Rabbit(Rabbit)	ENSRNOG00000001237_Rat(Rat)	ENSCAFG00000013995_Dog(Dog)	ENSOARG00000012898_Sheep(Sheep)
ENSFCAG00000002729_Cat(Cat)	ENSG00000182150_Human(Human)	ENSSSCG00000010941_Pig(Pig)	ENSOCUG00000000442_Rabbit(Rabbit)	ENSRNOG00000019175_Rat(Rat)	ENSCAFG00000001219_Dog(Dog)	ENSOARG00000008546_Sheep(Sheep)
ENSFCAG00000002846_Cat(Cat)	ENSG00000120438_Human(Human)	ENSSSCG00000004048_Pig(Pig)	ENSOCUG00000013847_Rabbit(Rabbit)	ENSRNOG00000014160_Rat(Rat)	ENSCAFG00000000732_Dog(Dog)	ENSOARG00000004554_Sheep(Sheep)
ENSFCAG00000006051_Cat(Cat)	ENSG00000143669_Human(Human)	ENSSSCG00000010151_Pig(Pig)	ENSOCUG00000002867_Rabbit(Rabbit)	ENSRNOG00000058094_Rat(Rat)	ENSCAFG00000011231_Dog(Dog)	ENSOARG00000003571_Sheep(Sheep)
ENSFCAG00000029742_Cat(Cat)	ENSG00000080345_Human(Human)	ENSSSCG00000016395_Pig(Pig)	ENSOCUG00000017435_Rabbit(Rabbit)	ENSRNOG00000054901_Rat(Rat)	ENSCAFG00000005670_Dog(Dog)	ENSOARG00000008930_Sheep(Sheep)
ENSFCAG00000029250_Cat(Cat)	ENSG00000162989_Human(Human)	ENSSSCG00000036078_Pig(Pig)	ENSOCUG00000024206_Rabbit(Rabbit)	ENSRNOG00000005369_Rat(Rat)	ENSCAFG00000009183_Dog(Dog)	ENSOARG00000008000_Sheep(Sheep)
ENSFCAG00000009060_Cat(Cat)	ENSG00000184445_Human(Human)	ENSSSCG00000039546_Pig(Pig)	ENSOCUG00000013792_Rabbit(Rabbit)	ENSRNOG00000033658_Rat(Rat)	ENSCAFG00000007837_Dog(Dog)	ENSOARG00000009349_Sheep(Sheep)
ENSFCAG00000045622_Cat(Cat)	ENSG00000119285_Human(Human)	ENSSSCG00000010145_Pig(Pig)	ENSOCUG00000014007_Rabbit(Rabbit)	ENSRNOG00000047594_Rat(Rat)	ENSCAFG00000010919_Dog(Dog)	ENSOARG00000003675_Sheep(Sheep)
